creationTimestamp | Name | Reason | Host | Component | Message
2024-02-16T10:36:04Z | testhttpserver-git-3-build.17b4517f17a4b224 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container docker-build
2024-02-16T10:36:23Z | testhttpserver-git-3.17b451835335ef33 | BuildFailed | null | build-controller | Build brms-nayan/testhttpserver-git-3 failed
2024-02-16T10:37:18Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b4519040ac2585 | Scheduled | null | null | Successfully assigned brms-nayan/el-event-listener-vpy9mk-7467cc8869-2khj8 to worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:37:18Z | el-event-listener-vpy9mk-7467cc8869.17b451903fc7d9fa | SuccessfulCreate | null | replicaset-controller | Created pod: el-event-listener-vpy9mk-7467cc8869-2khj8
2024-02-16T10:37:18Z | el-event-listener-vpy9mk.17b451903d9bc962 | ScalingReplicaSet | null | deployment-controller | Scaled up replica set el-event-listener-vpy9mk-7467cc8869 to 1
2024-02-16T10:37:18Z | event-listener-vpy9mk.17b451904142acbc | InternalError | null | EventListener | Operation cannot be fulfilled on deployments.apps "el-event-listener-vpy9mk": the object has been modified; please apply your changes to the latest version and try again
2024-02-16T10:37:19Z | pvc-fd9274ceb5.17b4519059d5c514 | FailedBinding | null | persistentvolume-controller | no persistent volumes available for this claim and no storage class is set
2024-02-16T10:37:19Z | testhttpserver-0xkf37-fetch-repository-pod.17b451906047ae56 | FailedScheduling | null | null | 0/6 nodes are available: 6 pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
2024-02-16T10:37:19Z | testhttpserver-0xkf37-fetch-repository.17b451905b304d71 | Started | null | TaskRun | null
2024-02-16T10:37:19Z | testhttpserver-0xkf37-fetch-repository.17b45190604f6d72 | Pending | null | TaskRun | Pending
2024-02-16T10:37:19Z | testhttpserver-0xkf37-fetch-repository.17b45190644af995 | Pending | null | TaskRun | pod status "PodScheduled":"False"; message: "0/6 nodes are available: 6 pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
2024-02-16T10:37:19Z | testhttpserver-0xkf37.17b4519055fa3226 | Started | null | PipelineRun | null
2024-02-16T10:37:19Z | testhttpserver-0xkf37.17b451905b370231 | Running | null | PipelineRun | Tasks Completed: 0 (Failed: 0, Cancelled 0), Incomplete: 3, Skipped: 0
2024-02-16T10:37:20Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b45190c2425646 | AddedInterface | null | multus | Add eth0 [10.128.2.157/23] from ovn-kubernetes
2024-02-16T10:37:20Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b45190c6472869 | Pulling | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Pulling image "registry.redhat.io/openshift-pipelines/pipelines-triggers-eventlistenersink-rhel8@sha256:138e78f84c8094d3008603352d84cb66c8b9ef00f213eea117a5ff9d0c388989"
2024-02-16T10:37:32Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b451938e7e5af8 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Successfully pulled image "registry.redhat.io/openshift-pipelines/pipelines-triggers-eventlistenersink-rhel8@sha256:138e78f84c8094d3008603352d84cb66c8b9ef00f213eea117a5ff9d0c388989" in 11.948980958s
2024-02-16T10:37:33Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b451939749589b | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container event-listener
2024-02-16T10:37:33Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b45193987a5948 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container event-listener
2024-02-16T10:39:15Z | el-event-listener-vpy9mk-7467cc8869-2khj8.17b451ab79d179c2 | Killing | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Stopping container event-listener
2024-02-16T10:40:22Z | testhttpserver-1-build.17b451bb288dda58 | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-1-build to worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:40:24Z | testhttpserver-1-build.17b451bb96b66cf2 | AddedInterface | null | multus | Add eth0 [10.128.2.158/23] from ovn-kubernetes
2024-02-16T10:40:24Z | testhttpserver-1-build.17b451bb995d3bbd | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:40:24Z | testhttpserver-1-build.17b451bba1038c33 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container git-clone
2024-02-16T10:40:25Z | testhttpserver-1-build.17b451bba283f5cf | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container git-clone
2024-02-16T10:40:25Z | testhttpserver-1-build.17b451bbceb3a896 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
